iter	Passed	Remaining
793	26725	23763
794	26764	23734
795	26803	23705
796	26836	23671
797	26869	23636
798	26903	23603
799	26935	23568
800	26968	23533
801	27003	23501
802	27035	23466
803	27068	23432
804	27101	23397
805	27134	23364
806	27167	23329
807	27200	23295
808	27232	23260
809	27265	23225
810	27298	23192
811	27331	23157
812	27363	23122
813	27397	23089
814	27433	23057
815	27466	23023
816	27502	22992
817	27536	22958
818	27569	22924
819	27604	22891
820	27639	22858
821	27675	22827
822	27709	22793
823	27755	22770
824	27794	22741
825	27827	22706
826	27860	22672
827	27899	22642
828	27932	22609
829	27969	22577
830	28001	22542
831	28040	22513
832	28073	22478
833	28105	22444
834	28139	22410
835	28171	22375
836	28204	22341
837	28237	22306
838	28269	22271
839	28305	22239
840	28344	22210
841	28378	22176
842	28409	22141
843	28443	22107
844	28476	22073
845	28511	22040
846	28544	22006
847	28586	21978
848	28623	21947
849	28655	21913
850	28689	21879
851	28722	21844
852	28754	21809
853	28786	21775
854	28819	21741
855	28853	21707
856	28885	21672
857	28918	21638
858	28951	21604
859	28985	21570
860	29023	21540
861	29055	21505
862	29089	21471
863	29126	21440
864	29158	21405
865	29196	21374
866	29229	21340
867	29262	21306
868	29294	21271
869	29328	21237
870	29362	21204
871	29404	21176
872	29437	21142
873	29470	21108
874	29504	21074
875	29543	21044
876	29576	21010
877	29609	20975
878	29648	20946
879	29686	20915
880	29718	20880
881	29750	20845
882	29783	20811
883	29815	20776
884	29848	20742
885	29880	20707
886	29914	20673
887	29948	20640
888	29982	20606
889	30019	20575
890	30051	20540
891	30084	20505
892	30122	20474
893	30154	20440
894	30187	20405
895	30219	20371
896	30251	20336
897	30284	20301
898	30316	20267
899	30350	20233
900	30383	20199
901	30415	20164
902	30447	20129
903	30480	20095
904	30519	20065
905	30553	20031
906	30586	19997
907	30620	19963
908	30652	19929
909	30685	19895
910	30719	19861
911	30751	19826
912	30785	19793
913	30817	19758
914	30849	19723
915	30882	19689
916	30915	19654
917	30949	19621
918	30982	19587
919	31015	19553
920	31048	19518
921	31080	19484
922	31113	19450
923	31147	19416
924	31179	19381
925	31213	19348
926	31246	19313
927	31279	19280
928	31313	19246
929	31346	19212
930	31378	19177
931	31413	19144
932	31446	19110
933	31479	19076
934	31513	19042
935	31546	19009
936	31581	18975
937	31614	18941
938	31647	18907
939	31680	18873
940	31712	18838
941	31746	18805
942	31779	18770
943	31811	18736
944	31844	18702
945	31876	18667
946	31910	18633
947	31941	18599
948	31973	18564
949	32005	18529
950	32037	18494
951	32070	18460
952	32104	18427
953	32136	18392
954	32173	18361
955	32206	18326
956	32239	18292
957	32272	18258
958	32306	18225
959	32338	18190
960	32374	18157
961	32405	18122
962	32437	18088
963	32472	18055
964	32507	18022
965	32539	17987
966	32572	17953
967	32605	17919
968	32642	17887
969	32678	17855
970	32712	17821
971	32748	17789
972	32779	17754
973	32812	17719
974	32847	17687
975	32880	17653
976	32913	17619
977	32945	17584
978	32983	17552
979	33015	17518
980	33049	17484
981	33082	17451
982	33115	17416
983	33163	17390
984	33198	17357
985	33232	17324
986	33265	17289
987	33303	17258
988	33336	17224
989	33371	17191
990	33404	17157
991	33436	17122
992	33471	17089
993	33504	17055
994	33539	17022
995	33571	16988
996	33604	16953
997	33636	16919
998	33674	16887
999	33707	16853
1000	33739	16819
1001	33779	16788
1002	33813	16755
1003	33846	16720
1004	33880	16687
1005	33916	16654
1006	33948	16620
1007	33980	16585
1008	34012	16551
1009	34044	16516
1010	34077	16482
1011	34111	16448
1012	34144	16415
1013	34176	16380
1014	34209	16346
1015	34241	16312
1016	34274	16278
1017	34307	16243
1018	34341	16210
1019	34373	16175
1020	34405	16141
1021	34438	16107
1022	34481	16077
1023	34515	16044
1024	34548	16010
1025	34580	15975
1026	34612	15941
1027	34646	15907
1028	34678	15873
1029	34712	15839
1030	34744	15805
1031	34775	15770
1032	34807	15735
1033	34840	15701
1034	34872	15667
1035	34906	15633
1036	34938	15599
1037	34971	15565
1038	35005	15531
1039	35038	15497
1040	35071	15463
1041	35103	15429
1042	35135	15394
1043	35167	15360
1044	35198	15325
1045	35231	15291
1046	35265	15258
1047	35297	15223
1048	35329	15189
1049	35361	15155
1050	35393	15120
1051	35425	15086
1052	35457	15051
1053	35490	15017
1054	35526	14985
1055	35559	14951
1056	35591	14916
1057	35624	14882
1058	35657	14848
1059	35690	14814
1060	35722	14780
1061	35755	14746
1062	35787	14712
1063	35819	14678
1064	35852	14643
1065	35885	14609
1066	35917	14575
1067	35949	14541
1068	35990	14510
1069	36027	14478
1070	36060	14444
1071	36092	14409
1072	36129	14377
1073	36161	14343
1074	36193	14309
1075	36224	14274
1076	36257	14240
1077	36290	14206
1078	36324	14173
1079	36375	14146
1080	36409	14112
1081	36441	14078
1082	36473	14043
1083	36507	14010
1084	36540	13976
1085	36572	13942
1086	36606	13908
1087	36639	13874
1088	36672	13840
1089	36704	13806
1090	36736	13772
1091	36769	13738
1092	36804	13705
1093	36848	13675
1094	36881	13641
1095	36915	13607
1096	36948	13573
1097	36979	13538
1098	37012	13504
1099	37043	13470
1100	37076	13436
1101	37109	13402
1102	37142	13368
1103	37173	13334
1104	37220	13304
1105	37252	13270
1106	37284	13236
1107	37317	13202
1108	37352	13169
1109	37395	13138
1110	37428	13105
1111	37460	13070
1112	37493	13036
1113	37527	13003
1114	37559	12969
1115	37592	12935
1116	37625	12901
1117	37658	12867
1118	37691	12833
1119	37723	12799
1120	37756	12765
1121	37789	12731
1122	37821	12697
1123	37854	12663
1124	37886	12628
1125	37918	12594
1126	37950	12560
1127	37982	12526
1128	38014	12492
1129	38047	12457
1130	38080	12424
1131	38114	12390
1132	38146	12356
1133	38179	12322
1134	38216	12289
1135	38248	12255
1136	38283	12222
1137	38316	12188
1138	38349	12154
1139	38381	12120
1140	38413	12086
1141	38445	12052
1142	38478	12018
1143	38512	11984
1144	38544	11950
1145	38577	11916
1146	38608	11882
1147	38641	11848
1148	38673	11814
1149	38706	11780
1150	38737	11745
1151	38769	11711
1152	38807	11679
1153	38839	11645
1154	38872	11611
1155	38904	11577
1156	38936	11542
1157	38967	11508
1158	38997	11473
1159	39028	11439
1160	39061	11405
1161	39094	11371
1162	39128	11338
1163	39160	11304
1164	39193	11270
1165	39230	11237
1166	39274	11206
1167	39310	11173
1168	39343	11140
1169	39376	11106
1170	39408	11072
1171	39441	11038
1172	39476	11004
1173	39511	10971
1174	39544	10937
1175	39577	10904
1176	39609	10869
1177	39651	10838
1178	39683	10804
1179	39715	10770
1180	39749	10736
1181	39783	10703
1182	39816	10669
1183	39849	10635
1184	39882	10601
1185	39915	10567
1186	39948	10534
1187	39981	10500
1188	40014	10466
1189	40047	10432
1190	40080	10398
1191	40114	10365
1192	40148	10331
1193	40181	10297
1194	40214	10263
1195	40247	10230
1196	40281	10196
1197	40314	10162
1198	40352	10130
1199	40385	10096
1200	40426	10064
1201	40461	10031
1202	40494	9997
1203	40529	9964
1204	40562	9930
1205	40601	9897
1206	40632	9863
1207	40667	9830
1208	40699	9796
1209	40734	9762
1210	40767	9728
1211	40799	9694
1212	40831	9660
1213	40864	9627
1214	40897	9593
1215	40930	9559
1216	40963	9525
1217	40999	9492
1218	41033	9458
1219	41071	9426
1220	41104	9392
1221	41142	9359
1222	41180	9326
1223	41212	9293
1224	41245	9259
1225	41279	9225
1226	41311	9191
1227	41345	9157
1228	41379	9124
1229	41411	9090
1230	41445	9056
1231	41480	9023
1232	41514	8989
1233	41548	8956
1234	41581	8922
1235	41618	8889
1236	41650	8855
1237	41684	8821
1238	41719	8788
1239	41752	8754
1240	41785	8720
1241	41818	8686
1242	41852	8653
1243	41888	8620
1244	41925	8587
1245	41959	8553
1246	41992	8519
1247	42024	8485
1248	42059	8452
1249	42095	8419
1250	42128	8385
1251	42159	8351
1252	42193	8317
1253	42226	8283
1254	42264	8250
1255	42296	8216
1256	42345	8186
1257	42381	8152
1258	42414	8119
1259	42448	8085
1260	42481	8051
1261	42515	8017
1262	42548	7984
1263	42586	7951
1264	42619	7917
1265	42653	7883
1266	42685	7849
1267	42718	7815
1268	42754	7782
